text,pick,watermark
"Después de probar la ____, el chef Gordon Ramsay exclamó: '¡Esto está ____!'",2,COLOMBIA
"En el último festival gastronómico, el plato ganador fue ____ con salsa de ____.",2,COLOMBIA
"El secreto de la abuela para hacer la mejor ____ es agregarle un toque de ____.",2,COLOMBIA
"Si comes ____ sin ____, ¿realmente eres colombiano?",2,COLOMBIA
"En el nuevo reality show 'MasterChef Colombia Extremo', los concursantes deben preparar ____ usando solo ____.",2,COLOMBIA
"El presidente declaró que la ____ será el nuevo plato nacional, reemplazando a la bandeja paisa.",1,COLOMBIA
"La razón por la que los extranjeros aman la comida colombiana es ____.",1,COLOMBIA
"En el mercado negro gastronómico, un kilo de ____ puede costar hasta un millón de pesos.",1,COLOMBIA
"Según un estudio científico, comer ____ todos los días te hace hablar como ____.",2,COLOMBIA
"El nuevo sabor de Chocorramo es ____. ¡Qué delicia!",1,COLOMBIA
"Para ganar el concurso de comer ____, el campeón tuvo que ____.",2,COLOMBIA
"En la última cena familiar, mi tía sorprendió a todos sirviendo ____ relleno de ____.",2,COLOMBIA
"El nuevo comercial de Jet dice: 'No es ____ si no es con ____'.",2,COLOMBIA
"En el barrio, el vendedor ambulante más famoso es el de ____ con ____.",2,COLOMBIA
"Para curar el guayabo, no hay nada mejor que una sopa de ____ con ____.",2,COLOMBIA
"En el último capítulo de 'Betty la Fea', Armando le propone matrimonio a Betty con un anillo hecho de ____.",1,COLOMBIA
"La abuela siempre decía: 'Con ____ y ____, hasta las penas saben bueno'.",2,COLOMBIA
"El restaurante más exclusivo de Bogotá solo sirve ____ bañado en ____.",2,COLOMBIA
"Para impresionar a su suegra, Juancho preparó ____ al estilo ____.",2,COLOMBIA
"En la próxima Feria de las Flores, el plato estrella será ____ con pétalos de ____.",2,COLOMBIA
